"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"5914","Gilfresh Produce","2016-17","35,013","132,178",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","56 Creenagh Road","BT61 8PZ"
"5915","GWA Supplies Limited","2016-17","42,249","140,830",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities","Unit 3","BT32 3AP"
"5916","DPL International","2016-17","7,200","42,000",0,"Northern Ireland","Mid Ulster",32120,"Manufacturing","17 Dunamore Road","BT80 9NR"
"5917","Taketen Ltd","2016-17","5,250","10,500",0,"Northern Ireland","Belfast",85590,"Education","POD 8 E3 Springvale Campus","BT12 7DU"
"5918","Steel Lintels Ireland Ltd","2016-17","3,780","9,450",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing","Unit 8 Kernan Technology Park","BT63 6BU"
"5919","A.Farlow (Engineering) Ltd","2016-17","2,882","5,764",0,"Northern Ireland","Causeway Coast and Glens",25910,"Manufacturing","39 Ballynameen Road","BT51 5PN"
"5920","Moore Concrete Products Limited","2017-18","45,367","154,602",0,"Northern Ireland","Mid and East Antrim",23610,"Manufacturing","Caherty House","BT42 4QH"
"5921","Clinty Re-Gen Limited","2017-18","99,222","534,780",0,"Northern Ireland","Belfast",20130,"Manufacturing","27 Duncrue Street","BT3 9AR"
"5922","Glenarm Organic Salmon Ltd","2016-17","11,805","39,350",0,"Northern Ireland","Mid and East Antrim",10200,"Manufacturing","8 Castle Demesne","BT44 0BD"
"5923","Multishower GB Ltd","2017-18","141,590","300,000",0,"Northern Ireland","Derry City and Strabane",32990,"Manufacturing","182 Kilcatten Road","BT47 3SR"
"5924","Chromascape Europe Ltd","2016-17","29,250","197,700",2,"United States Of America","Newry, Mourne and Down",23610,"Manufacturing","Doran's Rock","BT24 7JQ"
"5925","Backspindle Games Limited","2016-17","1,100","2,200",0,"Northern Ireland","Ards and North Down",32409,"Manufacturing","20 Ballyharry Park","BT23 8QX"
"5926","JFC Distribution Limited","2016-17","48,125","478,150",10,"Northern Ireland","Fermanagh and Omagh",46170,"Wholesale & Retail Trade & Repair of Vehicles","Unit 12, Rosslea Enterprise Centre","BT92 7FH"
"5927","Teraproof","2016-17","1,500","3,000",0,"Northern Ireland","Lisburn and Castlereagh",32990,"Manufacturing","115 Dromore Road","BT24 8HU"
"5928","Applied StemCell","2016-17","21,420","52,531",0,"United States Of America","X Outside NI",72110,"Professional, Scientific & Technical Activities","521 Cottonwood Dr, Suite #111","95035"
"5929","RC Engineering (N.I.) Ltd","2016-17","1,680","4,550",0,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities","18 Tirruadh Road","BT45 7HB"
"5930","Montracon Limited","2016-17","10,875","27,510",0,"Northern Ireland","Antrim and Newtownabbey",29202,"Manufacturing","McKinney Industrial Estate","BT36 4PX"
"5931","Mallaghan Engineering Limited","2017-18","2,000,000","11,310,000",210,"Northern Ireland","Mid Ulster",28220,"Manufacturing","69 Coalisland Road","BT71 6LA"
"5932","Greentown Environmental","2016-17","43,000","291,600",6,"Northern Ireland","Fermanagh and Omagh",81300,"Admin & Support Service Activities","59 Marble Arch Road","BT92 1DE"
"5933","AJC Electrical","2016-17","7,350","15,000",0,"Northern Ireland","Newry, Mourne and Down",27120,"Manufacturing","34 - 36 Main Street","BT33 0AD"
"5934","Ispiri Wheels (UK) Ltd","2017-18","47,100","215,250",2,"Northern Ireland","Fermanagh and Omagh",29320,"Manufacturing","Unit 3-4 Mantlin Enterprise","BT93 1TU"
"5935","Inova Gates Limited","2016-17","1,176","2,400",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing","76 Derrynoid Road","BT45 7DW"
"5936","B4B Telecoms","2016-17","48,400","441,000",10,"Northern Ireland","Belfast",62020,"Information & Communication","Block A, Boucher Business Studios","BT12 6QH"
"5937","Stormharvester Limited","2016-17","4,200","14,000",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities","2 Woodfort Gardens","BT28 3QN"
"5938","JAR","2016-17","1,500","3,600",0,"Northern Ireland","Belfast",62020,"Information & Communication","The Warehouse","BT2 8DN"
"5939","RMS","2016-17","48,000","264,000",12,"Great Britain","Lisburn and Castlereagh",82990,"Admin & Support Service Activities","Unit 9 North City Business Centre","BT15 2GG"
"5940","Arolco Ireland Limited","2016-17","3,760","11,562",0,"Northern Ireland","Derry City and Strabane",22290,"Manufacturing","60 Knockbrack Road","BT81 7LU"
"5941","Colourpoint Books","2016-17","3,675","7,500",0,"Northern Ireland","Ards and North Down",58110,"Information & Communication","Colourpoint House","BT23 4YH"
"5942","Camlin Limited","2018-19","107,904","393,285",0,"Northern Ireland","Lisburn and Castlereagh",26511,"Manufacturing","31 Ferguson Drive","BT28 2EX"
"5943","Global Equipment Spares Limited","2016-17","4,258","11,246",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Unit 3 Campsie Industrial Estate","BT47 3XX"
"5944","Mascott Construction (Europe) Ltd","2016-17","49,807","266,025",2,"Northern Ireland","Belfast",41201,"Construction","4 Pilots View","BT3 9LE"
"5945","BCM Security Associates Ltd","2016-17","5,585","11,170",0,"Northern Ireland","Causeway Coast and Glens",80200,"Admin & Support Service Activities","Limavady Business Park","BT49 0HR"
"5946","Geosolutions Engineering UK Limited","2016-17","70,000","1,166,000",10,"Great Britain","Belfast",71122,"Professional, Scientific & Technical Activities","Scottish Provident Buildings","BT1 6JH"
"5947","Laser Prototypes (Europe) Limited","2016-17","93,300","546,000",0,"Northern Ireland","Belfast",22210,"Manufacturing","4 Prince Regent Road","BT5 6QR"
"5948","Resco Surfaces Ltd","2016-17","3,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",43330,"Construction","31 Ballymaginthy Road","BT31 9BH"
"5949","M T Waste Management & Manufacturing","2016-17","27,989","64,076",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25290,"Manufacturing","18 Rockstown Road","BT60 2HF"
"5950","P McK Ltd","2016-17","2,660","8,064",0,"Northern Ireland","Mid Ulster",43210,"Construction","47 Grange Road","BT71 7EQ"
"5951","Aquasun","2016-17","3,684","9,211",0,"Northern Ireland","Causeway Coast and Glens",79909,"Admin & Support Service Activities","Unit 6","BT44 9PU"
"5952","Erne Lifting Services Ltd","2016-17","10,000","22,779",0,"Northern Ireland","Fermanagh and Omagh",74909,"Professional, Scientific & Technical Activities","239  Lisnaskea Road","BT92 9LD"
"5953","Trailblazer BBQ Ltd","2016-17","24,675","142,250",2,"Northern Ireland","Lisburn and Castlereagh",28210,"Manufacturing","6 Ballyoran Lane","BT16 1XJ"
"5954","Form Builders Ltd","2016-17","48,000","439,700",8,"Northern Ireland","Fermanagh and Omagh",32990,"Manufacturing","43 Brackey Road","BT79 9PH"
"5955","AuditComply","2016-17","39,285","364,284",0,"Northern Ireland","Belfast",62012,"Information & Communication","Suite 5,","BT2 8HD"
"5956","Mobilereport","2016-17","50,001","350,002",0,"Northern Ireland","Lisburn and Castlereagh",82990,"Admin & Support Service Activities","No 3 ,Suite A","BT3 9LE"
"5957","Axial3D","2016-17","1,470","3,000",0,"Northern Ireland","Belfast",32500,"Manufacturing","7-11 Linenhall Street","BT2 8AA"
"5958","Datactics Limited","2016-17","45,000","100,000",0,"Great Britain","Belfast",62012,"Information & Communication","Unit C1, Suite B","BT1 3LG"
"5959","Oroson Limited","2016-17","50,000","150,000",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication","6 Doagh Road","BT39 9BG"
"5960","Taggled Ltd","2016-17","30,000","60,000",0,"Northern Ireland","Belfast",62010,"Information & Communication","Ceased Trading",NA
"5961","Oroson Limited","2016-17","100,000","350,000",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication","6 Doagh Road","BT39 9BG"
"5962","LumenID Limited","2016-17","18,300","45,750",0,"Northern Ireland","Lisburn and Castlereagh",80200,"Admin & Support Service Activities","Unit 2c Ballinderry Business Park","BT28 2SA"
"5963","Cartoncare Limited","2016-17","30,000","140,000",0,"Northern Ireland","Newry, Mourne and Down",17219,"Manufacturing","Carbane Industrial Estate","BT35 6QJ"
"5964","RGM Vent Limited","2016-17","19,200","64,000",2,"Northern Ireland","Antrim and Newtownabbey",96090,"Other Service Activities","30 Church Road","BT39 9UF"
"5965","Graham","2016-17","24,291","69,719",0,"Northern Ireland","Lisburn and Castlereagh",42990,"Construction","Ballygowan Road","BT26 6HX"
"5966","Plotinus Limited","2016-17","100,003","250,012",0,"Northern Ireland","Newry, Mourne and Down",63110,"Information & Communication","29 Drumantine Hill","BT34 1TN"
"5967","Bella Mia Boutique","2016-17","17,600","62,200",0,"Northern Ireland","Causeway Coast and Glens",47910,"Wholesale & Retail Trade & Repair of Vehicles","10 Church Street","BT53 6DL"
"5968","Easca Mattress Ltd","2016-17","4,950","16,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",47910,"Wholesale & Retail Trade & Repair of Vehicles","46 Mount Merrion Park","BT6 0GB"
"5969","Bluechip Technologies Holdings Limited","2016-17","100,000","245,000",0,"Northern Ireland","Belfast",62010,"Information & Communication","Unit 4 9 Heron Avenue","BT3 9LF"
"5970","Shnuggle","2016-17","5,000","13,616",0,"Northern Ireland","Ards and North Down",32990,"Manufacturing","Sketrick House","BT23 4YH"
"5971","Displaynote Technologies Limited","2014-15","497,500","1,150,000",0,"Northern Ireland","Belfast",62020,"Information & Communication","Ground Floor","BT3 9DT"
"5972","Cirdan Imaging Ltd","2014-15","248,750","520,000",0,"Northern Ireland","Lisburn and Castlereagh",32500,"Manufacturing","8 Enterprise Crescent","BT28 2BP"
"5973","Waste Systems Ltd","2016-17","248,750","500,000",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Ceased Trading",NA
"5974","Causeway Sensors Limited","2016-17","248,750","525,000",0,"Northern Ireland","Belfast",21200,"Manufacturing","63 University Road","BT7 1NF"
"5975","Waste Systems Ltd","2016-17","49,750","100,000",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Ceased Trading",NA
"5976","Design ID Consulting Limited","2016-17","49,000","532,000",7,"Northern Ireland","Lisburn and Castlereagh",42990,"Construction","13 Main Street","BT26 6AE"
"5977","Waste Systems Ltd","2016-17","199,000","400,000",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Ceased Trading",NA
"5978","B9 Energy Control Ltd","2014-15","600,000","1,200,000",0,"Northern Ireland","Mid and East Antrim",35110,"Electricity, Gas, Steam & Air Conditioning Supply","19 Point Street","BT40 1HY"
"5979","Ampliphae Ltd","2014-15","250,001","875,016",0,"Northern Ireland","Belfast",61900,"Information & Communication","Innovation Centre","BT3 9DT"
"5980","Flowlens Ltd","2015-16","300,450","600,900",0,"Northern Ireland","Belfast",62012,"Information & Communication","Unit B4","BT3 9LE"
"5981","B9 Energy Control Ltd","2016-17","600,000","2,115,294",0,"Northern Ireland","Mid and East Antrim",35130,"Electricity, Gas, Steam & Air Conditioning Supply","19 Point Street","BT40 1HY"
"5982","Flowlens Ltd","2016-17","200,001","400,002",0,"Northern Ireland","Belfast",62012,"Information & Communication","Unit B4","BT3 9LE"
"5983","E.S.L. Engineering Limited","2016-17","1,590","3,180",0,"Northern Ireland","Causeway Coast and Glens",28920,"Manufacturing","11 Farranlester Road","BT51 3QR"
"5984","Marturion Electronics Limited","2017-18","43,039","135,342",0,"Northern Ireland","Lisburn and Castlereagh",21100,"Manufacturing","Knockmore Hill Business Park","BT28 2EX"
"5985","McGurk Architects","2016-17","1,720","3,440",0,"Northern Ireland","Mid Ulster",71111,"Professional, Scientific & Technical Activities","33 King Street","BT45 6AR"
"5986","Lock-A-Block (N.I) Ltd","2016-17","1,830","3,660",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities","1 James Lodge","BT67 0WJ"
"5987","Pro Kinetic Shutters Limited","2016-17","1,500","3,000",0,"Northern Ireland","Newry, Mourne and Down",25120,"Manufacturing","8 Riverdale Lane","BT24 7JG"
"5988","JJ Loughran","2016-17","44,296","126,560",0,"Northern Ireland","Mid Ulster",27110,"Manufacturing","155  Drum Road","BT80 9DW"
"5989","The Skunk Works Surfboard Company","2016-17","250,000","500,000",0,"Northern Ireland","Causeway Coast and Glens",22290,"Manufacturing","Ceased Trading",NA
"5990","Pollock Lifts Limited","2016-17","24,310","72,636",0,"Northern Ireland","Mid and East Antrim",28220,"Manufacturing","1 Sloefield Drive","BT38 8GX"
"5991","Blue Zinc IT Ltd","2017-18","6,550","26,278",0,"Northern Ireland","Belfast",62012,"Information & Communication","4C Dill House","BT5 6BQ"
"5992","Flowlens Ltd","2016-17","4,125","8,250",0,"Northern Ireland","Belfast",62012,"Information & Communication","Unit B4","BT3 9LE"
"5993","Herron Engineering Limited","2016-17","75,000","420,000",10,"Northern Ireland","Newry, Mourne and Down",29202,"Manufacturing","15 Herrons Road","BT31 9SR"
"5994","Ulster Supported Employment Limited","2017-18","12,600","42,000",2,"Northern Ireland","Belfast",88990,"Human & Social Work Activities","182-188 Cambrai Street","BT13 3JH"
"5995","JPM Engineering","2016-17","16,296","54,320",1,"Northern Ireland","Mid Ulster",29202,"Manufacturing","60B Killyharry Road","BT70 3BG"
"5996","A & B Pneumatics Limited","2016-17","9,000","30,000",1,"Northern Ireland","Lisburn and Castlereagh",29320,"Manufacturing","20 Glenavy Road","BT67 0LT"
"5997","Silotank","2016-17","13,710","38,200",0,"Northern Ireland","Belfast",25290,"Manufacturing","Pembroke Loop Road","BT17 0QL"
"5998","Gilmore Services Limited","2016-17","27,900","93,000",2,"Northern Ireland","Belfast",25620,"Manufacturing","125-127 Connsbrook Avenue","BT4 1JX"
"5999","Irwin Group","2017-18","52,122","184,416",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43210,"Construction","Unit 4 Diviny Drive","BT63 5WE"
"6000","Pegasus Orthotics Ltd","2016-17","7,500","32,750",0,"Northern Ireland","Lisburn and Castlereagh",21200,"Manufacturing","14 Crescent Business Park","BT28 2GN"
"6001","E & C Fitzgerald Limited","2016-17","32,800","212,700",4,"Northern Ireland","Ards and North Down",41100,"Construction","25 Main Street","BT22 2SR"
"6002","McAllister Bros Limited","2018-19","11,959","101,197",0,"Northern Ireland","Newry, Mourne and Down",81229,"Admin & Support Service Activities","91 Drumalane Road","BT35 8QJ"
"6003","Waterworx Pipeline and Civils","2016-17","14,700","30,000",0,"Northern Ireland","Fermanagh and Omagh",36000,"Water Supply, Sewerage, Waste Management & Remediation Activities","31 Creaghmore Road","BT78 4SH"
"6004","Tara Lodge","2016-17","6,645","19,260",0,"Northern Ireland","Belfast",55209,"Accommodation & Food Service Activities","36 Cromwell Road","BT7 1JW"
"6005","Kan Teq Limited","2017-18","8,400","21,000",0,"Northern Ireland","Ards and North Down",32300,"Manufacturing","123-125 Main Street","BT20 4AE"
"6006","Reperio Human Capital Ltd","2016-17","23,424","72,017",0,"Northern Ireland","Belfast",78200,"Admin & Support Service Activities","Arthur House","BT1 4GB"
"6007","Yes Chef","2016-17","10,400","89,000",2,"Northern Ireland","Lisburn and Castlereagh",58190,"Information & Communication","33A Railway Street","BT28 1XP"
"6008","Davison Canners Limited","2017-18","46,155","153,850",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","107 Summerisland Road","BT62 1SJ"
"6009","Beacon Broadband","2016-17","48,000","339,061",12,"Northern Ireland","Derry City and Strabane",26309,"Manufacturing","1 Collon Terrace","BT48 7QP"
"6010","Junk Kouture","2016-17","17,240","43,100",0,"Northern Ireland","Derry City and Strabane",14190,"Manufacturing","North West Science Park","BT48 7TG"
"6011","Michael Herron Architects","2016-17","1,644","5,500",0,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities","64A Main Street","BT71 4NB"
"6012","Moore Concrete Products Limited","2016-17","1,606","3,212",0,"Northern Ireland","Mid and East Antrim",23610,"Manufacturing","Caherty House","BT42 4QH"
"6013","Kiverco Limited","2017-18","62,377","193,952",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","26 Gortnaclough Road","BT71 5EE"
"6014","Met Healthcare Limited","2016-17","5,678","11,356",0,"Northern Ireland","Mid and East Antrim",43290,"Construction","Unit 52-53 Ballymena Business Centre","BT42 1FL"
"6015","Fathom","2016-17","10,000","24,650",0,"Northern Ireland","Belfast",62020,"Information & Communication","95-101 Royal Avenue","BT1 1FE"
"6016","Killyhevlin Hotel Limited","2016-17","7,704","40,561",0,"Northern Ireland","Fermanagh and Omagh",55100,"Accommodation & Food Service Activities","Dublin Road","BT74 6RW"
"6017","First Forensic Solutions Ltd","2016-17","9,285","31,426",0,"Northern Ireland","Antrim and Newtownabbey",62012,"Information & Communication","5 Glencraig Manor","BT41 2LE"
"6018","Tretzo","2016-17","43,388","273,530",4,"Northern Ireland","Armagh City, Banbridge and Craigavon",31090,"Manufacturing","18 Ballynahonemore Road","BT60 1ED"
"6019","Openwave Mobility Inc","2017-18","810,592","2,735,173",7,"United States of America","Belfast",62010,"Information & Communication","Charles House","BT1 2FJ"
"6020","Healthcare Analytics Limited","2016-17","26,855","62,065",0,"Northern Ireland","Belfast",62012,"Information & Communication","237d Lough Road","BT66 6NQ"
"6021","NC Engineering","2016-17","13,791","30,621",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",28302,"Manufacturing","2 Killyrudden Road","BT61 9SF"
"6022","Axis Technology & Development Limited","2016-17","1,650","3,300",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities","39 Hunters Hill Road","BT63 6AL"
"6023","Ampliphae Ltd","2016-17","2,815","5,630",0,"Northern Ireland","Belfast",61900,"Information & Communication","Innovation Centre","BT3 9DT"
"6024","Fabrite Solutions Limited","2016-17","20,850","125,500",2,"Northern Ireland","Lisburn and Castlereagh",41201,"Construction","4c Hallstown Road","BT28 2NE"
"6025","Pegasus Orthotics Ltd","2016-17","22,080","73,600",2,"Northern Ireland","Lisburn and Castlereagh",21200,"Manufacturing","14 Crescent Business Park","BT28 2GN"
"6026","Moon & Spoon","2017-18","14,688","48,960",1,"Northern Ireland","Newry, Mourne and Down",56290,"Accommodation & Food Service Activities","Unit 15D Warrenpoint Enterprise Centre","BT34 3LA"
"6027","Haneul Limited","2016-17","60,000","880,000",10,"Great Britain","Belfast",62020,"Information & Communication","Innovation Factory","BT12 7DG"
"6028","Screenspares Direct Ltd","2016-17","2,040","6,800",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","47A Moor Road","BT71 4QB"
"6029","Somerville Shopfitting","2016-17","40,200","385,000",6,"Northern Ireland","Lisburn and Castlereagh",31010,"Manufacturing","7 Tower Lane","BT23 6AY"
"6030","Ayartm Limited","2016-17","858","1,750",0,"Northern Ireland","Belfast",47910,"Wholesale & Retail Trade & Repair of Vehicles","Unit A111","BT4 1HE"
"6031","Reperio Human Capital Ltd","2016-17","29,600","433,800",10,"Northern Ireland","Belfast",78200,"Admin & Support Service Activities","Arthur House","BT1 4GB"
"6032","Re:Sure Intelligence Ltd","2016-17","10,000","22,375",0,"Northern Ireland","Mid Ulster",80200,"Admin & Support Service Activities","15 A Kilcronagh Business Park","BT80 9HJ"
"6033","Simulity Labs","2016-17","3,340","6,680",0,"Great Britain","Belfast",62090,"Information & Communication","Suite 212, Arthur House","BT1 4GB"
"6034","Bellamianta","2016-17","24,420","81,400",2,"Northern Ireland","Mid Ulster",47750,"Wholesale & Retail Trade & Repair of Vehicles","Unit 1","BT71 6JT"
"6035","Irish Stone","2016-17","2,225","4,450",0,"Northern Ireland","Lisburn and Castlereagh",23700,"Manufacturing","26 Harry's Rd","BT26 6HJ"
"6036","Rekkur (NI) Limited","2016-17","49,958","128,303",0,"Northern Ireland","Fermanagh and Omagh",22230,"Manufacturing","Unit 6 Lisnaskea Business Park","BT92 0PF"
"6037","S A Kennedy Engineering","2016-17","19,900","176,000",4,"Northern Ireland","Mid Ulster",24100,"Manufacturing","83 Farlough Road","BT71 4DU"
"6038","Porta-Fill International Limited","2017-18","27,000","180,000",2,"Northern Ireland","Mid Ulster",28920,"Manufacturing","Dungannon Business Park","BT70 1RP"
"6039","Ulster Ceramics Limited","2017-18","13,000","232,000",2,"Northern Ireland","Mid Ulster",23410,"Manufacturing","29 Garvagh Road","BT46 5QE"
"6040","Yedup Limited","2016-17","15,000","32,000",0,"Northern Ireland","Belfast",58200,"Information & Communication","47A Deramore Park","BT9 5JX"
"6041","SciLeads Ltd.","2017-18","49,000","529,000",7,"Northern Ireland","Belfast",58290,"Information & Communication","Regus","BT1 1LU"
"6042","Sensoteq","2016-17","48,117","109,066",0,"Northern Ireland","Belfast",61200,"Information & Communication","Unit 23","BT7 2JA"
"6043","SafeTcert Limited","2016-17","8,535","129,141",2,"Northern Ireland","Mid Ulster",85590,"Education","40 Curran Road","BT45 8DG"
"6044","Heatherlea Fine Foods NI Limited","2016-17","4,410","9,000",0,"Northern Ireland","Ards and North Down",10710,"Manufacturing","94-96 Main Street","BT20 4AG"
"6045","Brilliant Trails","2016-17","6,850","13,700",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities","Unit 5","BT42 1HL"
"6046","House of Mara","2016-17","1,788","3,575",0,"Northern Ireland","Belfast",20590,"Manufacturing","Flat 3 428 Lisburn Road","BT9 6GN"
"6047","Combined Facilities Management Ltd","2018-19","62,403","156,008",0,"Northern Ireland","Mid Ulster",82990,"Admin & Support Service Activities","Unit 8","BT45 6BB"
"6048","Fabricat (Ireland) Limited","2017-18","63,000","534,000",9,"Northern Ireland","Mid Ulster",25110,"Manufacturing","3 Tandragee Road","BT70 3DS"
"6049","Millar Woodcraft Specialist Joinery Manufacture Ltd","2016-17","2,170","4,340",0,"Northern Ireland","Antrim and Newtownabbey",16230,"Manufacturing","50 Derrygowan Road","BT41 3JS"
"6050","Hughes Precast Products Limited","2016-17","8,250","16,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",23610,"Manufacturing","338 Monaghan Road","BT60 4JQ"
"6051","First Reaction Ltd","2016-17","6,813","13,625",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",32990,"Manufacturing","55 Bleary Road","BT63 5NF"
"6052","Nugent Coachworks","2016-17","9,000","18,000",0,"Northern Ireland","Mid Ulster",29201,"Manufacturing","108 Aughnagar Road","BT70 2PP"
"6053","Modius Health","2016-17","5,000","10,000",0,"Northern Ireland","Mid and East Antrim",32500,"Manufacturing","4th Floor The Warehouse","BT2 8DN"
"6054","Ramko Hydraulics Ltd","2016-17","5,771","18,426",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","63 Gortgonis Road","BT71 4QG"
"6055","Name cannot be released","2016-17","7,167","17,918",0,"Northern Ireland","Ards and North Down",74100,"Professional, Scientific & Technical Activities",NA,NA
"6056","Adoreboard Limited","2016-17","44,947","149,687",0,"Northern Ireland","Belfast",62020,"Information & Communication","Adoreboard Campus","BT7 1NF"
"6057","Continually","2016-17","12,980","29,500",0,"Northern Ireland","Belfast",62012,"Information & Communication","152 Malone Road","BT9 5LJ"
"6058","The McAvoy Group Ltd","2016-17","15,720","43,605",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing","76 Ballynakilly Road","BT71 6HD"
"6059","PR Team Limited","2016-17","9,160","26,400",1,"Northern Ireland","Derry City and Strabane",58190,"Information & Communication","Northern Ireland Science Park","BT48 7TG"
"6060","Carey Cleaning Machines","2016-17","7,350","15,000",0,"Northern Ireland","Mid and East Antrim",71129,"Professional, Scientific & Technical Activities","9 Woodside Park","BT42 4HG"
"6061","IFM COMAC","2016-17","4,900","10,000",0,"Northern Ireland","Belfast",46690,"Wholesale & Retail Trade & Repair of Vehicles","North City Business Centre","BT15 2GG"
"6062","RW Powder Coatings Limited","2016-17","1,800","3,600",0,"Northern Ireland","Ards and North Down",25610,"Manufacturing","46 Hillsborough Road","BT23 5PW"
"6063","Bradfor Limited","2016-17","10,320","25,800",0,"Northern Ireland","Newry, Mourne and Down",13960,"Manufacturing","Forestbrook Mill","BT34 3BX"
"6064","Alan Lewis Displays Limited","2016-17","41,550","178,000",2,"Northern Ireland","Belfast",31010,"Manufacturing","16 Prince Regent Road","BT5 6QR"
"6065","Me2You","2016-17","2,775","6,860",0,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing","19A Bettys Hill Road","BT34 2LZ"
"6066","Meadow Farm Quality Foods Ltd","2016-17","2,450","4,900",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10110,"Manufacturing","49 Tullysaran Road","BT61 8HE"
"6067","Fabplus Limited","2017-18","96,770","374,599",0,"Irish Republic","Derry City and Strabane",24200,"Manufacturing","Orchard Way","BT82 9QS"
"6068","Inphoactive","2017-18","37,844","109,242",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities","The Innovation Centre","BT3 9DT"
"6069","Bath Shack","2016-17","30,000","100,000",2,"Northern Ireland","Belfast",17220,"Manufacturing","Unit 3-4","BT3 9LP"
"6070","Ryco Marketing","2016-17","2,810","5,620",0,"Northern Ireland","Newry, Mourne and Down",62090,"Information & Communication","12B John Mitchel Place","BT34 2BP"
"6071","Greentown Traffic Management Limited","2016-17","29,754","291,180",6,"Northern Ireland","Fermanagh and Omagh",42990,"Construction","65A Marble Arch Road","BT92 1DE"
"6072","Tennis Fundamentals","2016-17","6,250","12,500",0,"Northern Ireland","Lisburn and Castlereagh",85590,"Education","4 Blaris Court","BT27 5LN"
"6073","Road Tanker Spares","2016-17","5,350","10,700",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22210,"Manufacturing","17 Dunesmullan Road","BT60 1TJ"
"6074","Southshore Marine & Diesel Ltd","2016-17","20,600","45,794",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",28131,"Manufacturing","27 Annaloiste Road","BT66 6NJ"
"6075","McKeown Fine Foods Limited","2016-17","1,180","2,360",0,"Northern Ireland","Causeway Coast and Glens",10120,"Manufacturing","Dreen Farm","BT44 8RW"
"6076","Me2You","2016-17","14,700","30,000",0,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing","19A Bettys Hill Road","BT34 2LZ"
"6077","Allen Integrated Solutions Limited","2016-17","2,597","5,194",0,"Northern Ireland","Antrim and Newtownabbey",71122,"Professional, Scientific & Technical Activities","687 Shore Road","BT37 0ST"
"6078","Sea Source Processing Ltd","2017-18","18,590","125,300",4,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing","The Harbour","BT34 4AX"
"6079","JF McKenna Limited","2016-17","2,250","4,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22290,"Manufacturing","66 Cathedral Road","BT61 8AE"
"6080","Delegate Recruitment Limited","2016-17","48,000","389,608",8,"Northern Ireland","Belfast",78100,"Admin & Support Service Activities","Studio J 121 Donegall Road","BT12 5JL"
"6081","Go Beserk","2016-17","5,000","10,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","267 Orby Drive","BT5 6BG"
"6082","Keystone Lintels Limited","2017-18","42,462","132,532",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing","Sandholes Road","BT80 9DG"
"6083","Chique Sport Limited","2016-17","1,652","4,130",0,"Northern Ireland","Causeway Coast and Glens",46420,"Wholesale & Retail Trade & Repair of Vehicles","10 Castlewood Avenue","BT52 1JR"
"6084","Voscuris Limited","2016-17","10,000","21,050",0,"Northern Ireland","Belfast",62090,"Information & Communication","Arthur House","BT1 4GB"
