"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"2577","itradebook.com","2014-15","100,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2578","Instil Software Ltd","2015-16","145,500",2,"Northern Ireland","INFO&COMMU"
"2579","McCloy Consulting Limited","2014-15","39,475",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2580","RK Marketing Ltd","2014-15","105,000",4,"Northern Ireland","INFO&COMMU"
"2581","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2582","AA Specialist Joinery Limited","2014-15","285,880",6,"Northern Ireland","MANUFAC"
"2583","Seating Matters Ltd","2015-16","40,000",1,"Northern Ireland","MANUFAC"
"2584","Beam Vacuum Systems Limited","2015-16","248,400",2,"Northern Ireland","CONST"
"2585","Donal Doherty Photography","2014-15","104,000",3,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2586","Portadown Fireplaces","2014-15","165,000",4,"Northern Ireland","MANUFAC"
"2587","Shankill (Lurgan) Community Projects","2014-15","80,176",4,"Northern Ireland","HUMAN&SOCIALWORK"
"2588","Name cannot be released","2014-15","18,000",1,"Northern Ireland","OTHERSERVICE"
"2589","Oakfield Engineering","2014-15","4,700",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2590","Triangle Housing Association","2014-15","109,800",5,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2591","Fire Defence","2014-15","202,000",6,"Northern Ireland","PUBLICADMIN&DEFENCE"
"2592","Bloc Blinds","2014-15","98,870",1,"Northern Ireland","MANUFAC"
"2593","Armstrong Medical Ltd","2014-15","123,712",3,"Northern Ireland","MANUFAC"
"2594","Marlborough Engineering Limited","2014-15","9,600",1,"Northern Ireland","MANUFAC"
"2595","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2596","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2597","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2598","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2599","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2600","Smith's Engineering Works (Northern Ireland) Limited","2014-15","39,000",2,"Northern Ireland","MANUFAC"
"2601","Mooney Hotel Group","2015-16","35,000",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"2602","Tailored Image Ltd","2015-16","89,140",1,"Northern Ireland","MANUFAC"
"2603","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2604","Philips Electronics UK Limited","2014-15","20,139",1,"Northern Ireland","MANUFAC"
"2605","Selfridge Engineering","2014-15","1,634",1,"Northern Ireland","MANUFAC"
"2606","A.Farlow (Engineering) Ltd","2014-15","12,500",1,"Northern Ireland","MANUFAC"
"2607","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2608","No. 8 Jewellers","2014-15","5,350",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2609","Malone Lodge Hotel Limited","2014-15","70,000",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"2610","Autofloodguard","2014-15","9,893",1,"Northern Ireland","MANUFAC"
"2611","NI Climbing Frames","2014-15","106,000",3,"Northern Ireland","MANUFAC"
"2612","Camlin Limited","2015-16","497,160",1,"Northern Ireland","MANUFAC"
"2613","A.Farlow (Engineering) Ltd","2014-15","5,688",1,"Northern Ireland","MANUFAC"
"2614","Wilson Sloan Consulting","2014-15","20,300",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2615","Adoreboard Limited","2015-16","106,841",1,"Northern Ireland","INFO&COMMU"
"2616","Strickland Ireland Limited","2014-15","15,900",1,"Northern Ireland","MANUFAC"
"2617","Titan IC Systems Limited","2014-15","750,000",1,"Northern Ireland","INFO&COMMU"
"2618","Komodo Learning Ltd","2014-15","250,000",1,"Northern Ireland","EDUC"
"2619","Philips Electronics UK Limited","2014-15","422,963",1,"Northern Ireland","MANUFAC"
"2620","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2621","K-Space (NI) Ltd","2014-15","141,000",5,"Northern Ireland","MANUFAC"
"2622","The Present Tree Ltd","2014-15","149,000",4,"Northern Ireland","WHOLESALE&RETAIL"
"2623","Maurice Stevenson Limited","2014-15","180,000",3,"Northern Ireland","CONST"
"2624","Malaika Europe","2014-15","5,260",1,"Northern Ireland","MANUFAC"
"2625","Teamwear Ireland Limited","2014-15","1,500",1,"Northern Ireland","WHOLESALE&RETAIL"
"2626","M E G Cards and Gifts","2015-16","69,680",2,"Northern Ireland","WHOLESALE&RETAIL"
"2627","Xsell Team Limited","2014-15","294,000",7,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2628","Nutts About Pets","2015-16","123,160",3,"Northern Ireland","MANUFAC"
"2629","Flynn's Foods","2015-16","410,500",10,"Northern Ireland","MANUFAC"
"2630","GM Marketing (Ireland) Limited","2015-16","160,614",3,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2631","Repstor Limited","2014-15","26,744",1,"Northern Ireland","INFO&COMMU"
"2632","Learning To Grow","2014-15","10,875",1,"Northern Ireland","MANUFAC"
"2633","Plotbox","2014-15","53,680",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2634","Sentireal Limited","2015-16","21,200",1,"Northern Ireland","INFO&COMMU"
"2635","MCE Contract Services Limited","2014-15","240,000",6,"Northern Ireland","CONST"
"2636","Keenan Seafood Ltd","2014-15","22,500",1,"Northern Ireland","MANUFAC"
"2637","Xootec Ltd","2014-15","11,000",1,"Northern Ireland","INFO&COMMU"
"2638","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2639","Amazing Brains","2015-16","118,700",3,"Northern Ireland","EDUC"
"2640","LD2 Limited","2014-15","1,200",1,"Northern Ireland","MANUFAC"
"2641","Laser Spoke Limited","2014-15","119,020",1,"Northern Ireland","MANUFAC"
"2642","Name cannot be released","2014-15","4,200",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2643","Beacon Publishing Ltd","2015-16","53,760",1,"Northern Ireland","INFO&COMMU"
"2644","LAB Aroma Ltd","2014-15","42,560",1,"Northern Ireland","MANUFAC"
"2645","K&M Technical Services Ltd","2014-15","258,000",8,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2646","Eishtec","2015-16","997,286",1,"Irish Republic","ADMIN&SUPPORTSERVICE"
"2647","Chilltec Refrigeration Ltd","2014-15","4,131",1,"Northern Ireland","MANUFAC"
"2648","Homeliving","2014-15","173,200",6,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2649","Countryside Services Limited","2014-15","15,000",1,"Northern Ireland","AGRI&FORESTRY&FISHING"
"2650","Komodo Learning Ltd","2014-15","30,000",1,"Northern Ireland","EDUC"
"2651","Tilt-A-Dor Limited","2014-15","94,200",2,"Northern Ireland","MANUFAC"
"2652","3R Mobility","2014-15","12,500",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2653","i3Digital","2014-15","65,622",1,"Northern Ireland","INFO&COMMU"
"2654","4 Beauty Group","2014-15","30,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"2655","Irwins Quality Aggregates","2014-15","57,200",1,"Northern Ireland","MANUFAC"
"2656","Cottage Catering Limited","2015-16","75,000",14,"Northern Ireland","MANUFAC"
"2657","Cookstown Cycles Ltd","2014-15","16,000",1,"Northern Ireland","MANUFAC"
"2658","Mackle Snacks","2015-16","2,641,000",26,"Northern Ireland","MANUFAC"
"2659","Autism Biotech Limited","2014-15","148,510",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2660","Maurice Stevenson Limited","2014-15","106,550",1,"Northern Ireland","CONST"
"2661","Raygar Ltd","2014-15","6,000",1,"Northern Ireland","MANUFAC"
"2662","Peppup","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2663","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2664","Cadshare Technology Limited","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2665","Modius Health","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2666","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2667","Publishd Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2668","The Skunk Works Surfboard Company","2014-15","81,787",1,"Northern Ireland","MANUFAC"
"2669","e-surveysni","2015-16","36,680",1,"Northern Ireland","OTHERSERVICE"
"2670","ProProject","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2671","Mackle Petfoods","2015-16","465,000",1,"Northern Ireland","MANUFAC"
"2672","Smith's Engineering Works (Northern Ireland) Limited","2014-15","10,250",1,"Northern Ireland","MANUFAC"
"2673","Valpar Micro Matic Ltd","2014-15","5,500",1,"Northern Ireland","MANUFAC"
"2674","Todds Leap Pallet Racking & Shelving Limited","2015-16","150,000",4,"Northern Ireland","MANUFAC"
"2675","Colloide Engineering Systems Ltd","2014-15","3,150",1,"Northern Ireland","MANUFAC"
"2676","Colloide Engineering Systems Ltd","2014-15","5,250",1,"Northern Ireland","MANUFAC"
"2677","Autofloodguard","2015-16","103,870",1,"Northern Ireland","MANUFAC"
"2678","Eventmap Limited","2015-16","590,486",1,"Northern Ireland","INFO&COMMU"
"2679","Redburn Solutions Ltd","2014-15","6,992",1,"Northern Ireland","INFO&COMMU"
"2680","Name cannot be released","2014-15","6,000",1,"Northern Ireland","MANUFAC"
"2681","O'Neills Irish International Sports Company Limited","2015-16","542,682",1,"Irish Republic","MANUFAC"
"2682","Novre Enterprises","2014-15","10,000",1,"Northern Ireland","MANUFAC"
"2683","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2684","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2685","Decom Engineering","2014-15","74,420",1,"Northern Ireland","MANUFAC"
"2686","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2687","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2688","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2689","Long Meadow Cider Ltd","2014-15","13,400",1,"Northern Ireland","MANUFAC"
"2690","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2691","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2692","Arcatech Limited","2014-15","5,000",1,"Northern Ireland","MANUFAC"
"2693","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2694","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2695","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2696","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2697","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2698","Puddleducks Day Nursery","2014-15","15,152",2,"Northern Ireland","HUMAN&SOCIALWORK"
"2699","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2700","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2701","Name cannot be released","2014-15","36,000",1,"Northern Ireland","OTHERSERVICE"
"2702","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2703","Tasty Foods Cuisine Limited","2014-15","39,865",1,"Northern Ireland","MANUFAC"
"2704","IOLABS Ltd","2014-15","20,000",1,"Northern Ireland","OTHERSERVICE"
"2705","Power Action Limited","2015-16","94,700",3,"Northern Ireland","MANUFAC"
"2706","Name cannot be released","2014-15","18,000",1,"Northern Ireland","OTHERSERVICE"
"2707","ROCO Magazine","2014-15","20,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2708","McAuley Precision Limited","2014-15","9,600",1,"Northern Ireland","MANUFAC"
"2709","Smith's Engineering Works (Northern Ireland) Limited","2014-15","4,675",1,"Northern Ireland","MANUFAC"
"2710","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2711","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2712","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2713","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2714","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2715","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2716","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2717","MDC Tiles & Bathrooms Limited","2015-16","136,600",3,"Northern Ireland","MANUFAC"
"2718","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2719","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2720","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2721","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2722","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2723","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2724","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2725","Woodburn Engineering (Contracts) Limited","2015-16","633,956",11,"Northern Ireland","MANUFAC"
"2726","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2727","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2728","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2729","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2730","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2731","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2732","Little Citizens Boutique Ltd.","2014-15","4,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"2733","FSL Electronics Ltd","2015-16","70,600",3,"Northern Ireland","MANUFAC"
"2734","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2735","Offshore Investment","2014-15","35,172",1,"Northern Ireland","INFO&COMMU"
"2736","Westwood Marine Leisure Limited","2014-15","124,040",1,"Northern Ireland","MANUFAC"
"2737","Eco-nomic Innovations Limited","2014-15","3,500",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2738","Herron Engineering Limited","2014-15","11,142",1,"Northern Ireland","MANUFAC"
"2739","Webtech (N.I.) Limited","2015-16","423,832",1,"Irish Republic","MANUFAC"
"2740","McCue Interior Fitout Solutions","2014-15","30,830",1,"Northern Ireland","MANUFAC"
"2741","Shnuggle","2014-15","1,200",1,"Northern Ireland","MANUFAC"
"2742","James Leckey Design Limited","2014-15","120,166",1,"Northern Ireland","MANUFAC"
"2743","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2744","Factory Automated Systems Technologies Limited","2014-15","39,500",1,"Northern Ireland","MANUFAC"
"2745","Pokertree Brewing Company Ltd","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2746","Aquababes (NI) Ltd","2014-15","20,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"2747","Fermac Consulting Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2748","Fleet Maintenance Ireland Ltd","2014-15","165,000",8,"Northern Ireland","MANUFAC"
"2749","Causeway Sensors Limited","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2750","Quinns Gelato Limited","2014-15","2,400",1,"Northern Ireland","MANUFAC"
"2751","Basketball Direct Ltd","2014-15","20,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"2752","Cleaver Fulton Rankin Limited","2014-15","98,650",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2753","Amphora NDT","2014-15","20,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2754","Cyberlytic International Limited","2014-15","20,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2755","Wurkhouse Limited","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2756","Photonic Measurements Limited","2014-15","20,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2757","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2758","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2759","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2760","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2761","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2762","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2763","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2764","IPS","2014-15","126,500",4,"Northern Ireland","CONST"
"2765","JJ Loughran","2014-15","9,706",1,"Northern Ireland","MANUFAC"
"2766","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2767","Mourne Mountains Brewery","2014-15","78,090",1,"Northern Ireland","MANUFAC"
"2768","B4B Telecoms","2015-16","187,000",8,"Northern Ireland","INFO&COMMU"
"2769","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2770","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2771","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2772","Dea Gate Automation Limited","2015-16","55,000",3,"Italy","MANUFAC"
"2773","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2774","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2775","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2776","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2777","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2778","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2779","Heartsine Technologies Limited","2014-15","3,000",1,"United States of America","MANUFAC"
"2780","B-Secur Limited","2015-16","136,899",1,"Northern Ireland","INFO&COMMU"
"2781","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2782","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2783","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2784","Little Citizens Boutique Ltd.","2014-15","20,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"2785","Sonet Communications","2015-16","104,000",3,"Northern Ireland","INFO&COMMU"
"2786","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2787","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2788","Glistrr Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2789","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2790","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2791","AppAttic Ltd.","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2792","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2793","Pingster Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2794","App A Map Ltd","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2795","Stevia Gold","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2796","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2797","Go walk Talk","2014-15","12,000",1,"Northern Ireland","INFO&COMMU"
"2798","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2799","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2800","Povall Worthington","2014-15","260,500",5,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2801","Bioil","2015-16","99,580",1,"Northern Ireland","MANUFAC"
"2802","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2803","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2804","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2805","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2806","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2807","Name cannot be released","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2808","Design ID Consulting Limited","2015-16","241,500",5,"Northern Ireland","CONST"
"2809","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2810","Gray & Adams (Ireland) Limited","2014-15","65,262",1,"Northern Ireland","MANUFAC"
"2811","MakeMeUp","2015-16","10,000",1,"Northern Ireland","OTHERSERVICE"
"2812","Wee Gardeners","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2813","Clonallon Laboratories Ltd","2014-15","10,000",1,"Northern Ireland","MANUFAC"
"2814","ISO Hydraulics Limited","2014-15","31,500",1,"Northern Ireland","MANUFAC"
"2815","Guru Ping (UK) Ltd","2015-16","194,556",1,"Northern Ireland","INFO&COMMU"
"2816","Action Renewables","2015-16","30,600",4,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2817","Kukoon","2015-16","86,920",3,"Northern Ireland","WHOLESALE&RETAIL"
"2818","Capitol Essentials","2015-16","59,000",3,"Northern Ireland","WHOLESALE&RETAIL"
"2819","Core Systems (NI) Ltd","2014-15","14,700",1,"Northern Ireland","INFO&COMMU"
"2820","Little Electrical","2014-15","92,430",3,"Northern Ireland","MANUFAC"
"2821","The Training and Recruitment House Ltd","2014-15","7,250",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2822","Boran Mopack","2015-16","2,400,000",11,"Northern Ireland","MANUFAC"
"2823","First Forensic Solutions Ltd","2014-15","95,200",2,"Northern Ireland","INFO&COMMU"
"2824","Bio-Flex Yarns Limited","2014-15","20,000",1,"Northern Ireland","HUMAN&SOCIALWORK"
"2825","Protosonic Limited","2014-15","20,000",1,"Northern Ireland","MANUFAC"
"2826","Corramore Construction Ltd","2014-15","41,086",1,"Northern Ireland","CONST"
"2827","McCloskey International Limited","2016-17","1,538,364",1,"Canada","MANUFAC"
"2828","Micro-Flexitronics Limited","2014-15","9,960",1,"Northern Ireland","MANUFAC"
"2829","Camlin Limited","2015-16","70,148",1,"Northern Ireland","MANUFAC"
"2830","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2831","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2832","Kerrikids Ltd","2014-15","2,000",1,"Northern Ireland","MANUFAC"
"2833","Dyadey","2014-15","9,000",1,"Northern Ireland","INFO&COMMU"
"2834","Dyadey","2014-15","2,785",1,"Northern Ireland","INFO&COMMU"
"2835","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2836","Musikhopper","2014-15","20,000",1,"Northern Ireland","INFO&COMMU"
"2837","McGeary Engineering Limited","2014-15","7,900",1,"Northern Ireland","MANUFAC"
"2838","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2839","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2840","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2841","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2842","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2843","J Wilson Agricultural Ltd","2014-15","6,600",1,"Northern Ireland","MANUFAC"
"2844","NC Engineering","2015-16","26,049",1,"Northern Ireland","MANUFAC"
"2845","Modern Democracy Limited","2015-16","206,800",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2846","Tricord Limited","2014-15","5,700",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2847","Inflyte Limited","2015-16","99,046",1,"Northern Ireland","INFO&COMMU"
"2848","Repstor Limited","2014-15","60,005",1,"Northern Ireland","INFO&COMMU"
"2849","Graham Construction (NI) Ltd","2014-15","5,000",1,"Northern Ireland","CONST"
"2850","M E G Cards and Gifts","2014-15","6,789",1,"Northern Ireland","WHOLESALE&RETAIL"
"2851","Greenville Electrical & Industrial","2014-15","3,400",1,"Northern Ireland","MANUFAC"
"2852","Phlok Ltd","2014-15","85,000",1,"Northern Ireland","INFO&COMMU"
"2853","Ingresso","2014-15","1,000,000",1,"Great Britain","INFO&COMMU"
"2854","Quizfortune Limited","2014-15","200,000",1,"Northern Ireland","INFO&COMMU"
"2855","Mobilereport","2014-15","200,016",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2856","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2857","Spires Gallery Ltd","2015-16","144,500",7,"Northern Ireland","ART&ENTER&RECREATION"
"2858","Toddsleap.com","2014-15","6,165",1,"Northern Ireland","ART&ENTER&RECREATION"
"2859","Right Revenue","2014-15","5,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"2860","Out There Services","2014-15","15,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"2861","PTW Trading Limited","2014-15","6,000",1,"Northern Ireland","INFO&COMMU"
"2862","Peppup","2014-15","7,500",1,"Northern Ireland","MANUFAC"
"2863","Musikhopper","2014-15","5,000",1,"Northern Ireland","INFO&COMMU"
"2864","Crilco Confections Ltd","2014-15","2,870",1,"Northern Ireland","MANUFAC"
"2865","Rosco Engineering (NI) Limited","2014-15","4,000",1,"Northern Ireland","MANUFAC"
"2866","Aidan Strain Electrical Engineering Limited","2014-15","40,067",1,"Northern Ireland","MANUFAC"
"2867","Huge Rugby Ltd","2014-15","20,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"2868","West Coast Campervans Ltd","2015-16","3,853",1,"Northern Ireland","WHOLESALE&RETAIL"
"2869","Cooneen Protection Limited","2014-15","9,000",1,"Northern Ireland","MANUFAC"
"2870","Marlborough Engineering Limited","2014-15","12,000",1,"Northern Ireland","MANUFAC"
"2871","Annextra","2015-16","67,072",1,"Northern Ireland","CONST"
"2872","Erne Boats Limited","2014-15","279,500",7,"Northern Ireland","MANUFAC"
"2873","Magellan Aerospace","2015-16","183,125",1,"Canada","MANUFAC"
"2874","Mourne Craft","2014-15","11,699",1,"Northern Ireland","MANUFAC"
"2875","Bradley and Company","2015-16","1,028,000",6,"Northern Ireland","CONST"
"2876","Allsop Consulting Ltd.","2014-15","2,050",1,"Northern Ireland","INFO&COMMU"
"2877","Taylor Yates Limited","2015-16","20,000",1,"Northern Ireland","MANUFAC"
"2878","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2879","Rekkur (NI) Limited","2015-16","74,191",1,"Northern Ireland","MANUFAC"
"2880","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"2881","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2882","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"2883","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2884","Name cannot be released","2015-16","9,000",1,"Northern Ireland","OTHERSERVICE"
"2885","Maximus Crushing & Screening Ltd","2015-16","343,867",1,"Northern Ireland","MANUFAC"
"2886","ProProject","2015-16","111,111",1,"Northern Ireland","INFO&COMMU"
