"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"73","Merchant Warehouse","2014-15","599,571",1,"United States of America","INFO&COMMU"
"74","PricewaterhouseCoopers","2014-15","1,815,948",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"75","McAuley Precision Limited","2014-15","72,350",2,"Northern Ireland","MANUFAC"
"76","Terex","2014-15","468,300",1,"United States of America","MANUFAC"
"77","Target Dry Limited","2014-15","85,721",2,"Northern Ireland","MANUFAC"
"78","McColgans Quality Foods Limited","2014-15","7,361,800",41,"Northern Ireland","MANUFAC"
"79","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"80","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"81","PricewaterhouseCoopers","2014-15","20,252,000",105,"Great Britain","PROFESSIONAL&SCI&TECH"
"82","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"83","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"84","Best Western White Horse Hotel","2014-15","492,091",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"85","W.R. Book-Keeping Services Limited","2014-15","22,000",2,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"86","Eventmap Limited","2014-15","59,536",1,"Northern Ireland","INFO&COMMU"
"87","Philips Electronics UK Limited","2014-15","3,649,600",33,"Northern Ireland","MANUFAC"
"88","Finn Lough","2014-15","487,768",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"89","Wright Composites Limited","2014-15","410,211",1,"Northern Ireland","MANUFAC"
"90","Capper Trading","2014-15","2,421,530",1,"Northern Ireland","MANUFAC"
"91","Kainos Software Limited","2014-15","4,774,457",1,"Northern Ireland","INFO&COMMU"
"92","One Stop Data Limited","2014-15","42,957",2,"Great Britain","ADMIN&SUPPORTSERVICE"
"93","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"94","Ernst & Young","2014-15","24,562,000",112,"Great Britain","PROFESSIONAL&SCI&TECH"
"95","Opus Retail Solutions Limited","2014-15","83,000",1,"Northern Ireland","INFO&COMMU"
"96","Cubis Industries","2014-15","3,858,800",52,"Irish Republic","MANUFAC"
"97","Flite Software (NI) Limited","2014-15","78,625",1,"Northern Ireland","INFO&COMMU"
"98","Connected Health Limited","2014-15","76,250",2,"Northern Ireland","HUMAN&SOCIALWORK"
"99","AGR Automation","2014-15","154,039",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"100","Tactility Factory Limited","2014-15","278,000",6,"Northern Ireland","MANUFAC"
"101","Saturn Led Limited","2014-15","206,000",5,"Northern Ireland","WHOLESALE&RETAIL"
"102","CMG Plumbing and Heating","2014-15","249,000",7,"Northern Ireland","MANUFAC"
"103","No More Dramas Ltd","2014-15","10,800",1,"Northern Ireland","MANUFAC"
"104","Decom Engineering","2014-15","241,100",6,"Northern Ireland","MANUFAC"
"105","Fane Valley Co-Operative Society Limited","2014-15","796,419",1,"Northern Ireland","MANUFAC"
"106","Finnebrogue Artisan","2014-15","0",1,"Northern Ireland","MANUFAC"
"107","Silverwood Doors","2014-15","323,360",11,"Northern Ireland","MANUFAC"
"108","Woodland Kitchens (N.I.) Limited","2014-15","248,200",3,"Northern Ireland","MANUFAC"
"109","P W S Ireland Limited","2014-15","80,740",3,"Irish Republic","MANUFAC"
"110","New World Developments Limited","2014-15","290,716",3,"Northern Ireland","MANUFAC"
"111","New World Developments Limited","2014-15","717,800",26,"Northern Ireland","MANUFAC"
"112","Northside Graphics Limited","2014-15","51,321",1,"Northern Ireland","MANUFAC"
"113","Douglas & Grahame Limited","2014-15","390,000",4,"Northern Ireland","MANUFAC"
"114","Islander Kelp Ltd","2014-15","58,316",1,"Northern Ireland","MANUFAC"
"115","Texthelp Ltd.","2014-15","60,333",1,"Northern Ireland","INFO&COMMU"
"116","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"117","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"118","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"119","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"120","McElmeel Mobility Services Limited","2014-15","124,150",1,"Northern Ireland","MANUFAC"
"121","Delegate Recruitment Limited","2014-15","99,475",3,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"122","Ernst & Young","2014-15","4,157,123",1,"Great Britain","PROFESSIONAL&SCI&TECH"
"123","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"124","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"125","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"126","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"127","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"128","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
