"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"28","Edge Innovate (NI) Limited","2014-15","131,274","621,528",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"29","WD Meats","2014-15","99,746","383,638",0,"Northern Ireland","Causeway Coast and Glens",10110,"Manufacturing"
"30","Smiley Monroe Limited","2014-15","300,000","2,618,000",31,"Northern Ireland","Lisburn and Castlereagh",28920,"Manufacturing"
"31","Terex","2014-15","570,807","4,449,056",0,"United States of America","Mid Ulster",28920,"Manufacturing"
"32","Naturelle Consumer Products Limited","2014-15","110,482","368,273",0,"Northern Ireland","Fermanagh and Omagh",21200,"Manufacturing"
"33","Ross Boyd Limited","2014-15","15,000","89,000",5,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities"
"34","Pinkertons","2014-15","0","318,769",3,"Northern Ireland","Armagh City, Banbridge and Craigavon",10130,"Manufacturing"
"35","McCreight Potatoes Limited","2014-15","0","142,310",1,"Northern Ireland","Newry, Mourne and Down",10310,"Manufacturing"
"36","Hughes Mushrooms","2014-15","0","635,679",15,"Northern Ireland","Mid Ulster",10390,"Manufacturing"
"37","Mash Direct Limited","2014-15","0","916,000",22,"Northern Ireland","Ards and North Down",10890,"Manufacturing"
"38","Caterpillar (NI) Limited","2014-15","349,047","1,163,491",0,"United States of America","Mid and East Antrim",27110,"Manufacturing"
"39","Cowan Bros. NI Ltd","2014-15","20,164","57,612",0,"Northern Ireland","Derry City and Strabane",46610,"Wholesale & Retail Trade & Repair of Vehicles"
"40","Praxis Care","2014-15","68,386","666,756",0,"Northern Ireland","Belfast",88100,"Human & Social Work Activities"
"41","BRS Golf Limited","2014-15","154,000","1,807,697",28,"United States of America","Belfast",62012,"Information & Communication"
"42","Kainos Software Limited","2014-15","2,950,425","29,505,059",372,"Northern Ireland","Belfast",62012,"Information & Communication"
"43","Essential Designs (NI) Ltd","2014-15","11,994","45,045",0,"Northern Ireland","Mid Ulster",16230,"Manufacturing"
"44","Deacci Ltd","2014-15","3,000","7,500",0,"Northern Ireland","Newry, Mourne and Down",93290,"Arts, Entertainment & Recreation"
"45","Dale Farm Limited","2014-15","2,500,000","43,540,000",123,"Northern Ireland","Mid Ulster",10510,"Manufacturing"
"46","Jyrobike","2014-15","243,000","540,000",0,"Great Britain","Ards and North Down",30920,"Manufacturing"
"47","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"48","Terex","2014-15","128,276","610,840",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing"
"49","Principal Parts","2014-15","7,000","33,000",1,"Northern Ireland","Mid Ulster",2400,"Agriculture, Forestry & Fishing"
"50","Terex","2014-15","113,316","596,400",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing"
"51","Bombardier Aerostructures and Engineering Services (Belfast)","2014-15","1,379,408","7,061,527",0,"Canada","Belfast",30300,"Manufacturing"
